date,borough,count_pm25,count_dew,count_humidity,count_so2,count_pressure,count_o3,count_no2,count_temperature,count_wind_speed,count_wind_speed_2,count_wind_gust,count_wind_gust_2,count_co,min_pm25,min_dew,min_humidity,min_so2,min_pressure,min_o3,min_no2,min_temperature,min_wind_speed,min_wind_speed_2,min_wind_gust,min_wind_gust_2,min_co,max_pm25,max_dew,max_humidity,max_so2,max_pressure,max_o3,max_no2,max_temperature,max_wind_speed,max_wind_speed_2,max_wind_gust,max_wind_gust_2,max_co,median_pm25,median_dew,median_humidity,median_so2,median_pressure,median_o3,median_no2,median_temperature,median_wind_speed,median_wind_speed_2,median_wind_gust,median_wind_gust_2,median_co,variance_pm25,variance_dew,variance_humidity,variance_so2,variance_pressure,variance_o3,variance_no2,variance_temperature,variance_wind_speed,variance_wind_speed_2,variance_wind_gust,variance_wind_gust_2,variance_co
2020-08-12,Queens,108,19,118,,118,70,48,118,,96,,94,69,10,21,58,,1014.3,1.6,5,25,,0.2,,0.4,2.2,104,23,94,,1018.2,68.6,24.9,89.1,,7,,18,9.9,43,22,78.2,,1016.2,20.8,12.8,29.1,,2.2,,7,3.2,2508.19,4.97,888.81,,7.82,3266.81,200,6996.35,,37.45,,110.25,22.63
2020-08-29,Queens,86,20,94,,92,68,48,94,,90,,71,72,1,16,64.1,,998,4.8,3.6,22.2,,1,,4.5,1.8,72,22,96,,1008.3,31.2,26.3,81.3,,8.9,,19.9,4.6,16,21,80.4,,1002.1,18.4,11.8,69.1,,3.4,,10.5,2.2,1357.92,21.97,654.11,,114.63,412.89,413.88,6593.31,,43.98,,126.33,1.59
2020-10-31,Queens,96,20,94,,94,72,48,94,,79,,72,72,10,-5,42.3,,1026.7,1.6,3.3,-2,,0.1,,0.4,1.9,56,1,92,,1034.6,25.6,23.9,46.4,,4.6,,12.5,4.3,25,-3,64,,1031.4,17.6,11.6,7,,1.7,,6.8,2.5,1025.76,21.34,1866.94,,44.51,500.32,420.19,2772.2,,13.8,,119.96,3.56
2020-07-13,Queens,103,21,120,,118,119,99,120,,97,,94,119,2,13,33.2,,1007,17.6,3.4,22.7,,0.2,,0.6,1.5,33,19,89,,1011.1,49.6,21.4,87.4,,6.1,,17.1,3.2,15,17,53,,1008.2,34.4,8.8,30.1,,2.9,,9.7,1.9,691.05,36.62,2468.41,,8.48,666.6,206.29,6812.31,,30.02,,217.1,2.17
2020-05-22,Queens,112,18,120,,119,111,120,120,,75,,68,24,1,8,49.7,,1016.6,0.8,1.6,11.8,,0.2,,0.2,1.1,51,17,97,,1024.9,39.2,32.3,75.9,,11.3,,20.4,5.5,20,12,74.2,,1020.9,23.3,7.8,21.1,,5.1,,8.7,1.8,1198.85,97.52,1864.13,,69.82,1247.1,731.91,5458.19,,92.02,,409.73,20.48
2020-08-31,Queens,84,17,94,,94,67,48,94,,71,,67,71,1,9,43.2,,1014.4,0.8,2.5,18.6,,0.1,,0.4,1.5,36,16,91,,1020.3,35.2,27.5,75.4,,4.6,,11.8,2.7,13,12,62,,1018.4,19.2,9.2,53.7,,1.1,,5.8,2,762.05,50.07,1448.08,,18.76,635.37,758.73,5669.94,,13.87,,90.17,1.04
2020-04-26,Queens,109,22,118,,120,69,48,118,,115,,107,72,2,-1,58,,1006.1,24.1,2,6.1,,0.1,,3.3,1.3,43,6,96,,1018.6,36.1,11.3,51.1,,14.5,,30.9,2.6,10,3,81.1,,1011.4,32.8,5.1,9.6,,5,,12.6,1.9,856.24,37.47,1072.73,,175.83,101.06,71.33,3474.31,,183.26,,538.23,0.82
2020-05-23,Queens,98,15,119,,119,120,120,119,,106,,94,24,1,3,61.2,,1014.1,12.8,1.9,13.1,,0.1,,0.2,1,53,18,99,,1021.6,33.6,17.2,67.8,,14.7,,27.5,1.8,13,12,87,,1015.3,25.6,5,17.4,,3.7,,7.6,1.3,932.42,312.52,830.37,,45.84,328.25,104.9,5059.76,,141.36,,598.58,0.31
2020-08-02,Queens,112,16,119,,118,63,48,119,,114,,98,72,4,21,65.1,,1009.8,15.2,1.1,24.4,,0.2,,2.7,1.1,117,24,91,,1015.2,38.4,12.9,87.8,,15,,27.8,2.7,23,23,76,,1012.6,31.2,3.1,29.3,,5.3,,14,1.6,5499.97,10.62,474.52,,22.86,213.1,53.51,6997.49,,179.06,,487.2,1.56
2020-10-04,Queens,90,11,96,,96,67,48,96,,50,,68,48,4,4,42,,1006.2,0.8,2.2,7,,0.1,,0.2,1.6,52,7,92,,1025.5,31.2,21,65.6,,5.7,,15.3,4.5,19,5,61,,1024,21.6,9.9,16.2,,2,,4.7,2.6,1466.42,10,1482.84,,297.26,910.05,314.86,4081.26,,26.87,,255.67,7.87
