month,day,borough,year.x,AQI_Final.x,AQI_o3.x,AQI_co.x,AQI_no2.x,AQI_pm25.x,AQI_Category.x,year.y,AQI_Final.y,AQI_o3.y,AQI_co.y,AQI_no2.y,AQI_pm25.y,AQI_Category.y,Adjusted_Value,date
07,03,Manhattan,2019,134.476394849785,44.537037037037,29.5454545454546,15.7547169811321,134.476394849785,Unhealthy for Sensitive Populations,2020,121.600858369099,20,26.1363636363636,9.62264150943396,121.600858369099,Unhealthy for Sensitive Populations,90.4254300577671,2020-07-03
07,03,Queens,2019,140.914163090129,40,32.9545454545455,14.1509433962264,140.914163090129,Unhealthy for Sensitive Populations,2020,121.600858369099,20,29.5454545454546,6.9811320754717,121.600858369099,Unhealthy for Sensitive Populations,86.29427709926,2020-07-03
07,03,Staten Island,2019,128.038626609442,40,51.1363636363636,17.5471698113208,128.038626609442,Unhealthy for Sensitive Populations,2020,136.622317596567,21.5740740740741,32.9545454545455,7.92452830188679,136.622317596567,Unhealthy for Sensitive Populations,106.703985519392,2020-07-03
07,03,The Bronx,2019,147.351931330472,35.5555555555556,29.5454545454546,10.5660377358491,147.351931330472,Unhealthy for Sensitive Populations,2020,121.600858369099,20,23.8636363636364,,121.600858369099,Unhealthy for Sensitive Populations,82.5241021757495,2020-07-03
07,04,Brooklyn,2019,155.935622317597,60,,10.2830188679245,155.935622317597,Unhealthy,2020,97.9957081545064,21.5740740740741,21.5909090909091,2.54716981132076,97.9957081545064,Moderate,62.8436958137229,2020-07-04
07,04,Manhattan,2019,149.497854077253,40,38.6363636363636,9.62264150943396,149.497854077253,Unhealthy for Sensitive Populations,2020,76.5364806866953,22.962962962963,20.4545454545455,3.58490566037736,76.5364806866953,Moderate,51.1957052220596,2020-07-04
07,04,Queens,2019,158.081545064378,40,38.6363636363636,15.0943396226415,158.081545064378,Unhealthy,2020,89.412017167382,25.1851851851852,21.5909090909091,3.20754716981132,89.412017167382,Moderate,56.5606928569488,2020-07-04
07,04,Staten Island,2019,162.37339055794,33.4259259259259,51.1363636363636,12.2641509433962,162.37339055794,Unhealthy,2020,102.287553648069,18.5185185185185,29.5454545454546,7.07547169811321,102.287553648069,Unhealthy for Sensitive Populations,62.9952686807815,2020-07-04
07,04,The Bronx,2019,179.540772532189,34.0740740740741,37.5,9.62264150943396,179.540772532189,Unhealthy,2020,136.622317596567,22.962962962963,20.4545454545455,,136.622317596567,Unhealthy for Sensitive Populations,76.0954270551959,2020-07-04
07,05,Brooklyn,2019,462.962962962963,462.962962962963,,8.77358490566038,110.871244635193,Hazardous,2020,149.497854077253,27.4074074074074,27.2727272727273,5.56603773584906,149.497854077253,Unhealthy for Sensitive Populations,32.2915364806867,2020-07-05
