date,borough,AQI_Final,AQI_o3,AQI_co,AQI_no2,AQI_pm25,AQI_Category
2020-01-27,Staten Island,80.8283261802575,10.3703703703704,38.6363636363636,20.0943396226415,80.8283261802575,Moderate
2020-04-29,Staten Island,89.412017167382,26.0185185185185,26.1363636363636,16.6037735849057,89.412017167382,Moderate
2020-05-23,Staten Island,63.6609442060086,14.0740740740741,30.6818181818182,11.4150943396226,63.6609442060086,Moderate
2020-09-16,Staten Island,63.6609442060086,17.7777777777778,51.1363636363636,18.3962264150943,63.6609442060086,Moderate
2020-01-14,Staten Island,130.184549356223,2.96296296296296,76.1363636363636,26.2264150943396,130.184549356223,Unhealthy for Sensitive Populations
2020-04-03,Staten Island,46.4935622317597,22.3148148148148,25,4.43396226415094,46.4935622317597,Good
2020-06-14,Staten Island,57.2231759656652,15.5555555555556,17.0454545454545,4.43396226415094,57.2231759656652,Moderate
2020-08-13,Staten Island,123.74678111588,10.3703703703704,51.1363636363636,22.7358490566038,123.74678111588,Unhealthy for Sensitive Populations
2020-05-21,Staten Island,63.6609442060086,18.5185185185185,26.1363636363636,14.9056603773585,63.6609442060086,Moderate
2020-07-01,Staten Island,93.7038626609442,20.7407407407407,38.6363636363636,23.6792452830189,93.7038626609442,Moderate
2020-08-09,Staten Island,93.7038626609442,20.7407407407407,38.6363636363636,6.13207547169811,93.7038626609442,Moderate
2020-10-23,Staten Island,70.0987124463519,14.8148148148148,38.6363636363636,18.3962264150943,70.0987124463519,Moderate
2020-02-09,Staten Island,132.330472103004,5.92592592592593,51.1363636363636,22.7358490566038,132.330472103004,Unhealthy for Sensitive Populations
2020-03-30,Staten Island,74.3905579399142,19.2592592592593,38.6363636363636,21.0377358490566,74.3905579399142,Moderate
2020-08-29,Staten Island,61.5150214592275,13.4259259259259,27.2727272727273,7.07547169811321,61.5150214592275,Moderate
2020-10-19,Staten Island,74.3905579399142,20,63.6363636363636,23.6792452830189,74.3905579399142,Moderate
2020-02-18,Staten Island,113.017167381974,14.8148148148148,51.1363636363636,23.6792452830189,113.017167381974,Unhealthy for Sensitive Populations
2020-10-14,Staten Island,74.3905579399142,15.5555555555556,51.1363636363636,15.7547169811321,74.3905579399142,Moderate
2020-08-31,Staten Island,76.1363636363636,13.4259259259259,76.1363636363636,14.9056603773585,61.5150214592275,Moderate
2020-04-15,Staten Island,52.931330472103,29.6296296296296,4.54545454545455,4.43396226415094,52.931330472103,Moderate
2020-05-19,Staten Island,59.3690987124464,25.1851851851852,20.4545454545455,7.07547169811321,59.3690987124464,Moderate
2020-06-08,Staten Island,52.931330472103,20,18.1818181818182,5.28301886792453,52.931330472103,Moderate
2020-06-28,Staten Island,106.579399141631,27.4074074074074,32.9545454545455,4.43396226415094,106.579399141631,Unhealthy for Sensitive Populations
2020-01-18,Staten Island,65.8068669527897,15.5555555555556,36.3636363636364,16.6037735849057,65.8068669527897,Moderate
2020-02-22,Staten Island,100.141630901288,8.14814814814815,39.7727272727273,15.7547169811321,100.141630901288,Unhealthy for Sensitive Populations
2020-08-05,Staten Island,87.2660944206009,26.7592592592593,42.0454545454546,10.5660377358491,87.2660944206009,Moderate
2020-11-14,Staten Island,138.768240343348,0.740740740740741,51.1363636363636,18.3962264150943,138.768240343348,Unhealthy for Sensitive Populations
2020-05-15,Staten Island,117.309012875536,29.6296296296296,29.5454545454546,9.62264150943396,117.309012875536,Unhealthy for Sensitive Populations
2020-07-06,Staten Island,128.038626609442,22.962962962963,38.6363636363636,21.8867924528302,128.038626609442,Unhealthy for Sensitive Populations
2020-09-01,Staten Island,88.6363636363636,15.5555555555556,88.6363636363636,12.2641509433962,61.5150214592275,Moderate
2020-11-13,Staten Island,70.0987124463519,4.44444444444444,51.1363636363636,16.6037735849057,70.0987124463519,Moderate
2020-07-15,Staten Island,78.6824034334764,22.962962962963,20.4545454545455,13.1132075471698,78.6824034334764,Moderate
2020-08-12,Staten Island,128.038626609442,17.7777777777778,51.1363636363636,12.2641509433962,128.038626609442,Unhealthy for Sensitive Populations
2020-10-17,Staten Island,65.8068669527897,11.8518518518519,38.6363636363636,6.13207547169811,65.8068669527897,Moderate
2020-01-28,Staten Island,63.6609442060086,22.3148148148148,26.1363636363636,9.62264150943396,63.6609442060086,Moderate
2020-03-23,Staten Island,57.2231759656652,24.4444444444444,51.1363636363636,15.7547169811321,57.2231759656652,Moderate
2020-03-25,Staten Island,72.2446351931331,20,26.1363636363636,15.7547169811321,72.2446351931331,Moderate
2020-05-31,Staten Island,46.4935622317597,23.7037037037037,15.9090909090909,1.79245283018868,46.4935622317597,Good
2020-08-08,Staten Island,108.725321888412,13.4259259259259,53.4090909090909,11.4150943396226,108.725321888412,Unhealthy for Sensitive Populations
2020-10-30,Staten Island,67.9527896995708,11.8518518518519,37.5,10.5660377358491,67.9527896995708,Moderate
2020-01-11,Staten Island,95.8497854077253,20,26.1363636363636,14.9056603773585,95.8497854077253,Moderate
2020-04-14,Staten Island,48.6394849785408,28.8888888888889,4.54545454545455,4.43396226415094,48.6394849785408,Good
2020-05-05,Staten Island,48.6394849785408,24.4444444444444,20.4545454545455,3.58490566037736,48.6394849785408,Good
2020-07-12,Staten Island,72.2446351931331,26.7592592592593,26.1363636363636,3.58490566037736,72.2446351931331,Moderate
2020-01-09,Staten Island,95.8497854077253,19.2592592592593,26.1363636363636,13.1132075471698,95.8497854077253,Moderate
2020-03-05,Staten Island,74.3905579399142,22.962962962963,26.1363636363636,8.77358490566038,74.3905579399142,Moderate
