date,borough,AQI_Final,AQI_o3,AQI_co,AQI_no2,AQI_pm25,AQI_Category
2019-01-07,Staten Island,80.8283261802575,17.7777777777778,29.5454545454546,17.5471698113208,80.8283261802575,Moderate
2019-01-29,Staten Island,132.330472103004,2.96296296296296,63.6363636363636,38.4905660377359,132.330472103004,Unhealthy for Sensitive Populations
2019-02-20,Staten Island,85.1201716738198,25.1851851851852,51.1363636363636,30.6603773584906,85.1201716738198,Moderate
2019-02-25,Staten Island,85.1201716738198,32.5925925925926,22.7272727272727,4.43396226415094,85.1201716738198,Moderate
2019-03-06,Staten Island,104.43347639485,28.1481481481482,29.5454545454546,10.5660377358491,104.43347639485,Unhealthy for Sensitive Populations
2019-03-09,Staten Island,160.227467811159,22.3148148148148,47.7272727272727,23.6792452830189,160.227467811159,Unhealthy
2019-03-11,Staten Island,89.412017167382,32.5925925925926,31.8181818181818,9.62264150943396,89.412017167382,Moderate
2019-03-15,Staten Island,106.579399141631,31.8518518518519,51.1363636363636,14.9056603773585,106.579399141631,Unhealthy for Sensitive Populations
2019-01-25,Staten Island,91.5579399141631,22.3148148148148,28.4090909090909,9.62264150943396,91.5579399141631,Moderate
2019-01-26,Staten Island,87.2660944206009,15.5555555555556,38.6363636363636,14.0566037735849,87.2660944206009,Moderate
2019-01-28,Staten Island,113.017167381974,20,38.6363636363636,17.5471698113208,113.017167381974,Unhealthy for Sensitive Populations
2019-01-31,Staten Island,89.412017167382,20,38.6363636363636,10.5660377358491,89.412017167382,Moderate
2019-02-04,Staten Island,168.811158798283,5.18518518518519,63.6363636363636,41.1320754716981,168.811158798283,Unhealthy
2019-02-06,Staten Island,93.7038626609442,18.5185185185185,47.7272727272727,20.0943396226415,93.7038626609442,Moderate
2019-02-08,Staten Island,89.412017167382,22.962962962963,42.0454545454546,17.5471698113208,89.412017167382,Moderate
2019-03-01,Staten Island,121.600858369099,11.2037037037037,51.1363636363636,31.5094339622642,121.600858369099,Unhealthy for Sensitive Populations
2019-03-13,Staten Island,106.579399141631,26.0185185185185,51.1363636363636,30.6603773584906,106.579399141631,Unhealthy for Sensitive Populations
2019-03-21,Staten Island,87.2660944206009,22.962962962963,38.6363636363636,30.6603773584906,87.2660944206009,Moderate
2019-01-17,Staten Island,78.6824034334764,17.037037037037,26.1363636363636,19.2452830188679,78.6824034334764,Moderate
2019-02-09,Staten Island,61.5150214592275,24.4444444444444,38.6363636363636,4.43396226415094,61.5150214592275,Moderate
2019-02-13,Staten Island,85.1201716738198,23.7037037037037,38.6363636363636,14.0566037735849,85.1201716738198,Moderate
2019-02-21,Staten Island,80.8283261802575,20.7407407407407,38.6363636363636,21.0377358490566,80.8283261802575,Moderate
2019-03-02,Staten Island,100.141630901288,26.0185185185185,38.6363636363636,14.9056603773585,100.141630901288,Unhealthy for Sensitive Populations
2019-01-08,Staten Island,110.871244635193,1.48148148148148,50,35.8490566037736,110.871244635193,Unhealthy for Sensitive Populations
2019-01-12,Staten Island,72.2446351931331,20,28.4090909090909,13.1132075471698,72.2446351931331,Moderate
2019-01-21,Staten Island,78.6824034334764,25.1851851851852,26.1363636363636,4.43396226415094,78.6824034334764,Moderate
2019-02-05,Staten Island,145.206008583691,14.0740740740741,65.9090909090909,36.6981132075472,145.206008583691,Unhealthy for Sensitive Populations
2019-03-23,Staten Island,63.6609442060086,27.4074074074074,25,3.58490566037736,63.6609442060086,Moderate
2019-03-28,Staten Island,82.9742489270386,28.1481481481482,38.6363636363636,21.0377358490566,82.9742489270386,Moderate
2019-01-13,Staten Island,78.6824034334764,20.7407407407407,31.8181818181818,11.4150943396226,78.6824034334764,Moderate
2019-01-14,Staten Island,89.412017167382,17.037037037037,39.7727272727273,15.7547169811321,89.412017167382,Moderate
2019-02-14,Staten Island,89.412017167382,28.1481481481482,26.1363636363636,12.2641509433962,89.412017167382,Moderate
2019-03-27,Staten Island,70.0987124463519,25.1851851851852,37.5,17.5471698113208,70.0987124463519,Moderate
2019-03-31,Staten Island,140.914163090129,27.4074074074074,38.6363636363636,5.28301886792453,140.914163090129,Unhealthy for Sensitive Populations
2018-12-31,Staten Island,145.206008583691,8.14814814814815,63.6363636363636,21.0377358490566,145.206008583691,Unhealthy for Sensitive Populations
2019-01-19,Staten Island,115.163090128755,8.88888888888889,38.6363636363636,23.6792452830189,115.163090128755,Unhealthy for Sensitive Populations
2019-02-01,Staten Island,104.43347639485,14.8148148148148,38.6363636363636,21.0377358490566,104.43347639485,Unhealthy for Sensitive Populations
2019-03-04,Staten Island,89.412017167382,33.4259259259259,30.6818181818182,12.2641509433962,89.412017167382,Moderate
2019-03-07,Staten Island,117.309012875536,26.7592592592593,40.9090909090909,20.0943396226415,117.309012875536,Unhealthy for Sensitive Populations
2019-01-01,Staten Island,78.6824034334764,17.037037037037,28.4090909090909,4.43396226415094,78.6824034334764,Moderate
2019-01-24,Staten Island,70.0987124463519,17.7777777777778,26.1363636363636,13.1132075471698,70.0987124463519,Moderate
2019-01-27,Staten Island,113.017167381974,18.5185185185185,38.6363636363636,14.0566037735849,113.017167381974,Unhealthy for Sensitive Populations
2019-02-16,Staten Island,89.412017167382,31.1111111111111,26.1363636363636,6.13207547169811,89.412017167382,Moderate
2019-02-24,Staten Island,74.3905579399142,20.7407407407407,40.9090909090909,13.1132075471698,74.3905579399142,Moderate
2019-03-08,Staten Island,138.768240343348,15.5555555555556,51.1363636363636,37.6415094339623,138.768240343348,Unhealthy for Sensitive Populations
